Internal ID,External ID,Source
rxn00211,UDPGDr,BiGG
rxn00212,UDPGPpp,BiGG
rxn00213,GALU,BiGG
rxn00213,GALUi,BiGG
rxn00213,UGP1,BiGG
rxn00213,YHL012W,BiGG
rxn00214,GAL10,BiGG
rxn00214,UDPG4E,BiGG
rxn00216,GLK1_1,BiGG
rxn00216,HEX1,BiGG
rxn00216,HXK1_2,BiGG
rxn00216,HXK2_2,BiGG
rxn00217,G1Dx,BiGG
rxn00220,G6PP,BiGG
rxn00221,G1PP,BiGG
rxn00221,G1PPpp,BiGG
rxn00222,BG(CELLB),BiGG
rxn00223,XYLI2,BiGG
rxn00223,XYLI2i,BiGG
rxn00224,FCLT,BiGG
rxn00224,FCLTm,BiGG
rxn00225,ACKr,BiGG
rxn00227,ACYP_2,BiGG
rxn00229,LO,BiGG
rxn00231,AMID4,BiGG
rxn00236,NDP3,BiGG
rxn00236,NDP3g,BiGG
rxn00237,NDPK1,BiGG
rxn00237,YNK1_8,BiGG
rxn00239,GK1,BiGG
rxn00239,GUK1_1,BiGG
rxn00241,NTP3,BiGG
rxn00241,NTP3pp,BiGG
rxn00242,G35DP,BiGG
rxn00242,GDPDP3PH,BiGG
rxn00242,PPGPP,BiGG
rxn00242,PPGPPDP,BiGG
rxn00245,TARTD,BiGG
rxn00247,PCK1,BiGG
rxn00247,PPCK,BiGG
rxn00247,PPCKr,BiGG
rxn00248,MDH,BiGG
rxn00248,MDH1,BiGG
rxn00248,MDHi2,BiGG
rxn00248,MDHm,BiGG
rxn00248,MDHp,BiGG
rxn00249,MDHy,BiGG
rxn00250,PC,BiGG
rxn00250,PYC1,BiGG
rxn00250,PYC2,BiGG
rxn00251,PPC,BiGG
rxn00256,CIT1,BiGG
rxn00256,CIT2,BiGG
rxn00256,CIT3,BiGG
rxn00256,CS,BiGG
rxn00256,CSm,BiGG
rxn00256,CSp,BiGG
rxn00260,AAT1_1,BiGG
rxn00260,AAT2_1,BiGG
rxn00260,ASPTA,BiGG
rxn00260,ASPTA1,BiGG
rxn00260,ASPTA1r,BiGG
rxn00260,ASPTAm,BiGG
rxn00260,ASPTAp,BiGG
rxn00262,ASPO1,BiGG
rxn00262,ASPO7,BiGG
rxn00265,CITL,BiGG
rxn00265,CITLr,BiGG
rxn00268,GLYD,BiGG
rxn00269,GLYO1,BiGG
rxn00272,AGT,BiGG
rxn00272,AGTi,BiGG
rxn00272,YFL030W,BiGG
rxn00274,GLYAT,BiGG
rxn00274,GLYATRi,BiGG
rxn00274,GLYATi,BiGG
rxn00278,ALAD_L,BiGG
rxn00283,ALAR,BiGG
rxn00283,ALARi,BiGG
rxn00285,LSC2,BiGG
rxn00285,SUCOAS,BiGG
rxn00285,SUCOAS1m,BiGG
rxn00285,SUCOASm,BiGG
rxn00288,FRD,BiGG
rxn00288,FRDSUCD1i,BiGG
rxn00288,FRDm,BiGG
rxn00288,OSM1,BiGG
rxn00288,SDH3_1,BiGG
rxn00288,SUCD1,BiGG
rxn00288,SUCD1i,BiGG
rxn00288,SUCD1m,BiGG
rxn00289,MCITL2,BiGG
rxn00289,MCITL2m,BiGG
rxn00289,MCL,BiGG
rxn00289,MICITL,BiGG
rxn00290,OCOAT1,BiGG
rxn00290,OCOAT1r,BiGG
rxn00291,SGDS,BiGG
rxn00292,UAG2EMA,BiGG
rxn00293,UAGDP,BiGG
rxn00293,UAGDPr,BiGG
rxn00295,UAG4E,BiGG
rxn00297,UAG2E,BiGG
rxn00297,UAG2Ei,BiGG
rxn00299,FOL2,BiGG
rxn00299,GTPCI,BiGG
rxn00300,GTPCII2,BiGG
rxn00300,RIB1,BiGG
rxn00301,NTPP2,BiGG
rxn00303,GTPDPK,BiGG
rxn00305,PEPCK_re,BiGG
rxn00307,GUACYC,BiGG
rxn00312,LYSMO,BiGG
rxn00313,DAPDC,BiGG
rxn00320,LYSRC,BiGG
rxn00321,LYSAM,BiGG
rxn00322,LYSDC,BiGG
rxn00324,GLYCLTDy,BiGG
rxn00324,GLYCLTDyr,BiGG
rxn00327,DAL3,BiGG
rxn00327,UGLYCH,BiGG
rxn00327,UGLYCHr,BiGG
rxn00328,DDPGA,BiGG
rxn00330,DAL7,BiGG
rxn00330,MALS,BiGG
rxn00330,MALSp,BiGG
rxn00330,MLS1,BiGG
rxn00331,MCAL,BiGG
rxn00333,GLYCTO1,BiGG
rxn00333,GLYCTO10,BiGG
rxn00336,ICL,BiGG
rxn00336,ICL1,BiGG
rxn00336,ICL2,BiGG
rxn00337,ASPK,BiGG
rxn00337,ASPKi,BiGG
rxn00337,HOM3,BiGG
rxn00338,ASPO6,BiGG
rxn00340,ASNS2,BiGG
rxn00342,ASNN,BiGG
rxn00342,ASNNe,BiGG
rxn00342,ASNNpp,BiGG
rxn00342,ASP1,BiGG
rxn00342,ASP31,BiGG
rxn00342,ASP32,BiGG
rxn00342,ASP33,BiGG
rxn00342,ASP34,BiGG
rxn00346,ASP1DC,BiGG
rxn00346,U98,BiGG
rxn00347,ASPT,BiGG
rxn00348,ASPR,BiGG
rxn00348,ASPRM,BiGG
rxn00350,GGTAe2,BiGG
rxn00350,GTHRDHpp,BiGG
rxn00351,GSH2,BiGG
rxn00351,GTHS,BiGG
rxn00355,GAL7_1,BiGG
rxn00355,GALT,BiGG
rxn00355,GALTi,BiGG
rxn00358,UDPGALM,BiGG
rxn00361,ADSK,BiGG
rxn00361,ADSKr,BiGG
rxn00361,MET14,BiGG
rxn00363,NTD4,BiGG
rxn00363,NTD4pp,BiGG
rxn00363,U29,BiGG
rxn00364,CYTK1,BiGG
rxn00364,U18,BiGG
rxn00365,CYTDK1,BiGG
rxn00367,NTPP4,BiGG
rxn00369,CYTDK2,BiGG
rxn00369,URK1_2,BiGG
rxn00371,FDH,BiGG
rxn00371,FDH1,BiGG
rxn00371,FDHr,BiGG
rxn00371,YPL275W,BiGG
