#source,ID
bigg.reaction:R_PDHe3hr,MNXR100066
bigg.reaction:GCHOLAt,MNXR100070
bigg.reaction:R_GCHOLAt,MNXR100070
bigg.reaction:GCHOLAt2,MNXR100071
bigg.reaction:R_GCHOLAt2,MNXR100071
bigg.reaction:GCHOLAt3,MNXR100072
bigg.reaction:R_GCHOLAt3,MNXR100072
bigg.reaction:EX_gchola_e,MNXR100073
bigg.reaction:GCHOLAte,MNXR100073
bigg.reaction:GCHOLAtx,MNXR100073
bigg.reaction:R_EX_gchola_e,MNXR100073
bigg.reaction:R_GCHOLAte,MNXR100073
bigg.reaction:R_GCHOLAtx,MNXR100073
bigg.reaction:R_SK_gchola_c,MNXR100073
bigg.reaction:SK_gchola_c,MNXR100073
bigg.reaction:GCL,MNXR100074
bigg.reaction:GLUCYS,MNXR100074
bigg.reaction:R_GCL,MNXR100074
bigg.reaction:R_GLUCYS,MNXR100074
bigg.reaction:GCLDH,MNXR100075
bigg.reaction:R_GCLDH,MNXR100075
bigg.reaction:GCNTg,MNXR100076
bigg.reaction:HMR_0906,MNXR100076
bigg.reaction:R_GCNTg,MNXR100076
bigg.reaction:R_HMR_0906,MNXR100076
bigg.reaction:GCNTg_cho,MNXR100077
bigg.reaction:R_GCNTg_cho,MNXR100077
bigg.reaction:EX_gd1b2_hs_e,MNXR100079
bigg.reaction:GD1B2te,MNXR100079
bigg.reaction:GD1B2tg,MNXR100079
bigg.reaction:R_EX_gd1b2_hs_e,MNXR100079
bigg.reaction:R_GD1B2te,MNXR100079
bigg.reaction:R_GD1B2tg,MNXR100079
bigg.reaction:EX_gd1b2_cho_e,MNXR100080
bigg.reaction:GD1B2te_cho,MNXR100080
bigg.reaction:GD1B2tg_cho,MNXR100080
bigg.reaction:R_EX_gd1b2_cho_e,MNXR100080
bigg.reaction:R_GD1B2te_cho,MNXR100080
bigg.reaction:R_GD1B2tg_cho,MNXR100080
bigg.reaction:EX_gd1c_hs_e,MNXR100081
bigg.reaction:GD1Cte,MNXR100081
bigg.reaction:GD1Ctg,MNXR100081
bigg.reaction:R_EX_gd1c_hs_e,MNXR100081
bigg.reaction:R_GD1Cte,MNXR100081
bigg.reaction:R_GD1Ctg,MNXR100081
bigg.reaction:EX_gd1c_cho_e,MNXR100082
bigg.reaction:GD1Cte_cho,MNXR100082
bigg.reaction:GD1Ctg_cho,MNXR100082
