Internal ID,External ID,Source
MNXM1091675,1gRNA2,BiGG
MNXM1091676,1gUnmeasuredSolutes,BiGG
MNXM1091677,1h2nap,BiGG
MNXM1091678,1hibup__S,BiGG
MNXM1091679,1hibupglu__S,BiGG
MNXM1091680,1pqq,BiGG
MNXM1091681,1py4h3c,BiGG
MNXM1091682,23btdl,BiGG
MNXM1091683,23oxsucc,BiGG
MNXM1091684,23tart,BiGG
MNXM1091685,2a3o4pob,BiGG
MNXM1091686,2aeppn,BiGG
MNXM1091687,2bdgsglyc,BiGG
MNXM1091688,2beACP,BiGG
MNXM1091689,2beacp,BiGG
MNXM1091690,2c4mthzep,BiGG
MNXM1091691,2chdeacp,BiGG
MNXM1091692,2cocdacp,BiGG
MNXM1091693,2ctdeacp,BiGG
MNXM1091694,2ddara,BiGG
MNXM1091695,2dmmq4,BiGG
MNXM1091696,2h24pdn,BiGG
MNXM1091697,2h3mb,BiGG
MNXM1091698,2h3mp,BiGG
MNXM1091699,2hadnt,BiGG
MNXM1091700,2hetdp,BiGG
MNXM1091702,2hibup__R,BiGG
MNXM1091703,2hibup__S,BiGG
MNXM1091704,2hibupglu__S,BiGG
MNXM1091705,2hptcl,BiGG
MNXM1091706,2hptcoa,BiGG
MNXM1091707,2hxic__L,BiGG
MNXM1091708,2ip3os,BiGG
MNXM1091709,2m35mdntha,BiGG
MNXM1091710,2m3os,BiGG
MNXM1091711,2m6sbenzq,BiGG
MNXM1091712,2m6solbzq,BiGG
MNXM1091713,2mb_p,BiGG
MNXM1091714,2mba,BiGG
MNXM1091715,2mbutACP,BiGG
MNXM1091716,2mehbtpp,BiGG
MNXM1091717,2mehtpp,BiGG
MNXM1091718,2mm,BiGG
MNXM1091719,2mm__R,BiGG
MNXM1091720,2mpa,BiGG
MNXM1091721,2np6mep,BiGG
MNXM1091722,2np6mobq,BiGG
MNXM1091723,2npmhmobq,BiGG
MNXM1091724,2o3h4pbut,BiGG
MNXM1091725,2ogm,BiGG
MNXM1091725,HC00591,BiGG
MNXM1091726,2oxosucc,BiGG
MNXM1091727,2pqq,BiGG
MNXM1091728,2ptcoa,BiGG
MNXM1091729,2tddACP,BiGG
MNXM1091730,2tddacp,BiGG
MNXM1091731,2tdeACP,BiGG
MNXM1091732,2tdeacp,BiGG
MNXM1091733,2thdeacp,BiGG
MNXM1091734,2theACP,BiGG
MNXM1091735,2theacp,BiGG
MNXM1091736,2tocdACP,BiGG
MNXM1091737,2tocdacp,BiGG
MNXM1091738,2toceACP,BiGG
MNXM1091739,2toceacp,BiGG
MNXM1091740,2ttdeacp,BiGG
MNXM1091741,33hmeoxobut,BiGG
MNXM1091742,34dhsa,BiGG
MNXM1091743,34dphacoa,BiGG
MNXM1091744,35dnta,BiGG
MNXM1091745,38ch2gtp,BiGG
MNXM1091746,3_rhma13unaga,BiGG
MNXM1091747,3a2oprop,BiGG
MNXM1091748,3a2oxpp,BiGG
MNXM1091749,3c1ht,BiGG
MNXM1091750,3dhcdchol,BiGG
MNXM1091751,3dhchol,BiGG
MNXM1091752,3dhdchol,BiGG
MNXM1091753,3dhlchol,BiGG
MNXM1091754,3g12dgr_MRSA,BiGG
MNXM1091755,3h3mop,BiGG
MNXM1091756,3h4atb,BiGG
MNXM1091757,3h4atbcoa,BiGG
MNXM1091758,3h6athcoa,BiGG
MNXM1091759,3hasp__L,BiGG
MNXM1091760,3hbACP,BiGG
MNXM1091761,3hbacp,BiGG
MNXM1091762,3hbutcoa,BiGG
MNXM1091763,3hbz,BiGG
MNXM1091764,3hbzcoa,BiGG
MNXM1091765,3hd6coa,BiGG
MNXM1091766,3hdc69coa,BiGG
MNXM1091767,3hdc6coa,BiGG
MNXM1091768,3hdc7coa,BiGG
MNXM1091769,3hdcos710131619coa,BiGG
MNXM1091770,3hdcscoa,BiGG
MNXM1091771,3hdd5811coa,BiGG
MNXM1091772,3hdd58coa,BiGG
MNXM1091773,3hdd5coa,BiGG
MNXM1091774,3hdd69coa,BiGG
MNXM1091775,3hdd6coa,BiGG
MNXM1091776,3hddACP,BiGG
MNXM1091777,3hddacp,BiGG
MNXM1091778,3hddccoa,BiGG
MNXM1091779,3hdeACP,BiGG
MNXM1091780,3hdeacp,BiGG
MNXM1091781,3hdec4coa,BiGG
MNXM1091782,3hdocoscoa,BiGG
MNXM1091783,3hechin,BiGG
MNXM1091784,3heico58111417coa,BiGG
MNXM1091785,3heico581114coa,BiGG
MNXM1091786,3heicoscoa,BiGG
MNXM1091787,3hgmeACP,BiGG
MNXM1091788,3hh5coa,BiGG
MNXM1091789,3hhACP,BiGG
MNXM1091790,3hhacp,BiGG
MNXM1091791,3hhd58coa,BiGG
MNXM1091792,3hhd691215coa,BiGG
MNXM1091793,3hhd6912coa,BiGG
MNXM1091794,3hhd71013coa,BiGG
MNXM1091795,3hhd710coa,BiGG
MNXM1091796,3hhd7coa,BiGG
MNXM1091797,3hhd912coa,BiGG
MNXM1091798,3hhd9coa,BiGG
MNXM1091799,3hhdccoa,BiGG
MNXM1091800,3hhdd4coa,BiGG
MNXM1091801,3hhdd7coa,BiGG
MNXM1091802,3hhpcoa,BiGG
MNXM1091803,3hibup__R,BiGG
MNXM1091804,3hibup__S,BiGG
MNXM1091805,3hibupglu__S,BiGG
MNXM1091806,3hlnlccoa,BiGG
MNXM1091807,3hlvstacid,BiGG
MNXM1091808,3hmcat,BiGG
MNXM1091809,3hnonacoa,BiGG
MNXM1091810,3hoc5coa,BiGG
MNXM1091811,3hoc7coa,BiGG
MNXM1091812,3hocACP,BiGG
MNXM1091813,3hocacp,BiGG
MNXM1091814,3hocdacp,BiGG
MNXM1091815,3hod691215coa,BiGG
MNXM1091816,3hod6912coa,BiGG
MNXM1091817,3hod91215coa,BiGG
MNXM1091818,3hod912coa,BiGG
MNXM1091819,3hod9coa,BiGG
MNXM1091820,3hodACP,BiGG
MNXM1091821,3hoddecACP,BiGG
MNXM1091822,3hodecoa,BiGG
MNXM1091823,3hpaACP,BiGG
MNXM1091824,3hpaacp,BiGG
MNXM1091825,3hpbcoa,BiGG
MNXM1091826,3hpdecacoa,BiGG
MNXM1091827,3hphpcoa,BiGG
MNXM1091828,3hphxacoa,BiGG
MNXM1091829,3hpmeACP,BiGG
MNXM1091830,3hpnonacoa,BiGG
MNXM1091831,3hpoctacoa,BiGG
MNXM1091832,3hpppnoh,BiGG
MNXM1091833,3hpppnohgluc,BiGG
MNXM1091834,3hpptcoa,BiGG
MNXM1091835,3hptslacoa,BiGG
MNXM1091836,3hsa,BiGG
MNXM1091837,3htd5811coa,BiGG
MNXM1091838,3htd58coa,BiGG
MNXM1091839,3htd5coa,BiGG
MNXM1091840,3htd71013coa,BiGG
MNXM1091841,3htd710coa,BiGG
MNXM1091842,3htd7coa,BiGG
