#source,ID
bigg.metabolite:16m3opACP,MNXM1091632
bigg.metabolite:16mhdACP,MNXM1091633
bigg.metabolite:16mpACP,MNXM1091634
bigg.metabolite:16mthdeACP,MNXM1091635
bigg.metabolite:16mtp2eACP,MNXM1091636
bigg.metabolite:17m3hdACP,MNXM1091637
bigg.metabolite:17m3ohdACP,MNXM1091638
bigg.metabolite:17mhdACP,MNXM1091639
bigg.metabolite:17mthdeACP,MNXM1091640
bigg.metabolite:1ag160,MNXM1091641
bigg.metabolite:1ag180,MNXM1091642
bigg.metabolite:1ag181d9,MNXM1091643
bigg.metabolite:1ag182d9d12,MNXM1091644
bigg.metabolite:1ag3p,MNXM1091645
bigg.metabolite:1ag3p_LM,MNXM1091646
bigg.metabolite:1agly3p_LM,MNXM1091647
bigg.metabolite:1agpc140,MNXM1091648
bigg.metabolite:1agpc160,MNXM1091649
bigg.metabolite:1agpc161,MNXM1091650
bigg.metabolite:1agpc180,MNXM1091651
bigg.metabolite:1agpc181,MNXM1091652
bigg.metabolite:1agpc182,MNXM1091653
bigg.metabolite:1agpc205,MNXM1091654
bigg.metabolite:1agpc226,MNXM1091655
bigg.metabolite:1agpe182,MNXM1091656
bigg.metabolite:1agpe205,MNXM1091657
bigg.metabolite:1agpe226,MNXM1091658
bigg.metabolite:1docos4710131619eg3p,MNXM1091659
bigg.metabolite:1eicos58111417eg3p,MNXM1091660
bigg.metabolite:1gCELLWALL,MNXM1091661
bigg.metabolite:1gCELLWALL2,MNXM1091662
bigg.metabolite:1gDNA,MNXM1091663
bigg.metabolite:1gDNA2,MNXM1091664
bigg.metabolite:1gLIPIDS,MNXM1091665
bigg.metabolite:1gLIPIDS2,MNXM1091666
bigg.metabolite:1gLIPIDSr,MNXM1091667
bigg.metabolite:1gMeasuredSolutes,MNXM1091668
bigg.metabolite:1gMeasuredSolutes2,MNXM1091669
bigg.metabolite:1gOtherSolutes2,MNXM1091670
bigg.metabolite:1gOtherSolutes_r,MNXM1091671
bigg.metabolite:1gPROTEIN,MNXM1091672
bigg.metabolite:1gPROTEIN2,MNXM1091673
bigg.metabolite:1gRNA,MNXM1091674
bigg.metabolite:1gRNA2,MNXM1091675
bigg.metabolite:1gUnmeasuredSolutes,MNXM1091676
bigg.metabolite:1h2nap,MNXM1091677
bigg.metabolite:1hibup__S,MNXM1091678
bigg.metabolite:1hibupglu__S,MNXM1091679
bigg.metabolite:1pqq,MNXM1091680
bigg.metabolite:1py4h3c,MNXM1091681
bigg.metabolite:23btdl,MNXM1091682
bigg.metabolite:23oxsucc,MNXM1091683
bigg.metabolite:23tart,MNXM1091684
bigg.metabolite:2a3o4pob,MNXM1091685
bigg.metabolite:2aeppn,MNXM1091686
bigg.metabolite:2bdgsglyc,MNXM1091687
bigg.metabolite:2beACP,MNXM1091688
bigg.metabolite:2beacp,MNXM1091689
bigg.metabolite:2c4mthzep,MNXM1091690
bigg.metabolite:2chdeacp,MNXM1091691
bigg.metabolite:2cocdacp,MNXM1091692
bigg.metabolite:2ctdeacp,MNXM1091693
bigg.metabolite:2ddara,MNXM1091694
bigg.metabolite:2dmmq4,MNXM1091695
bigg.metabolite:2h24pdn,MNXM1091696
bigg.metabolite:2h3mb,MNXM1091697
bigg.metabolite:2h3mp,MNXM1091698
bigg.metabolite:2hadnt,MNXM1091699
bigg.metabolite:2hetdp,MNXM1091700
bigg.metabolite:2hibup__R,MNXM1091702
bigg.metabolite:2hibup__S,MNXM1091703
bigg.metabolite:2hibupglu__S,MNXM1091704
bigg.metabolite:2hptcl,MNXM1091705
bigg.metabolite:2hptcoa,MNXM1091706
bigg.metabolite:2hxic__L,MNXM1091707
bigg.metabolite:2ip3os,MNXM1091708
bigg.metabolite:2m35mdntha,MNXM1091709
bigg.metabolite:2m3os,MNXM1091710
bigg.metabolite:2m6sbenzq,MNXM1091711
bigg.metabolite:2m6solbzq,MNXM1091712
bigg.metabolite:2mb_p,MNXM1091713
bigg.metabolite:2mba,MNXM1091714
bigg.metabolite:2mbutACP,MNXM1091715
bigg.metabolite:2mehbtpp,MNXM1091716
bigg.metabolite:2mehtpp,MNXM1091717
bigg.metabolite:2mm,MNXM1091718
bigg.metabolite:2mm__R,MNXM1091719
bigg.metabolite:2mpa,MNXM1091720
bigg.metabolite:2np6mep,MNXM1091721
bigg.metabolite:2np6mobq,MNXM1091722
bigg.metabolite:2npmhmobq,MNXM1091723
bigg.metabolite:2o3h4pbut,MNXM1091724
bigg.metabolite:2ogm,MNXM1091725
bigg.metabolite:HC00591,MNXM1091725
bigg.metabolite:2oxosucc,MNXM1091726
bigg.metabolite:2pqq,MNXM1091727
bigg.metabolite:2ptcoa,MNXM1091728
bigg.metabolite:2tddACP,MNXM1091729
bigg.metabolite:2tddacp,MNXM1091730
bigg.metabolite:2tdeACP,MNXM1091731
bigg.metabolite:2tdeacp,MNXM1091732
bigg.metabolite:2thdeacp,MNXM1091733
bigg.metabolite:2theACP,MNXM1091734
bigg.metabolite:2theacp,MNXM1091735
bigg.metabolite:2tocdACP,MNXM1091736
bigg.metabolite:2tocdacp,MNXM1091737
bigg.metabolite:2toceACP,MNXM1091738
bigg.metabolite:2toceacp,MNXM1091739
bigg.metabolite:2ttdeacp,MNXM1091740
bigg.metabolite:33hmeoxobut,MNXM1091741
bigg.metabolite:34dhsa,MNXM1091742
bigg.metabolite:34dphacoa,MNXM1091743
bigg.metabolite:35dnta,MNXM1091744
bigg.metabolite:38ch2gtp,MNXM1091745
bigg.metabolite:3_rhma13unaga,MNXM1091746
bigg.metabolite:3a2oprop,MNXM1091747
bigg.metabolite:3a2oxpp,MNXM1091748
bigg.metabolite:3c1ht,MNXM1091749
bigg.metabolite:3dhcdchol,MNXM1091750
bigg.metabolite:3dhchol,MNXM1091751
bigg.metabolite:3dhdchol,MNXM1091752
bigg.metabolite:3dhlchol,MNXM1091753
bigg.metabolite:3g12dgr_MRSA,MNXM1091754
bigg.metabolite:3h3mop,MNXM1091755
bigg.metabolite:3h4atb,MNXM1091756
bigg.metabolite:3h4atbcoa,MNXM1091757
bigg.metabolite:3h6athcoa,MNXM1091758
bigg.metabolite:3hasp__L,MNXM1091759
bigg.metabolite:3hbACP,MNXM1091760
bigg.metabolite:3hbacp,MNXM1091761
bigg.metabolite:3hbutcoa,MNXM1091762
bigg.metabolite:3hbz,MNXM1091763
bigg.metabolite:3hbzcoa,MNXM1091764
bigg.metabolite:3hd6coa,MNXM1091765
bigg.metabolite:3hdc69coa,MNXM1091766
bigg.metabolite:3hdc6coa,MNXM1091767
bigg.metabolite:3hdc7coa,MNXM1091768
bigg.metabolite:3hdcos710131619coa,MNXM1091769
bigg.metabolite:3hdcscoa,MNXM1091770
bigg.metabolite:3hdd5811coa,MNXM1091771
bigg.metabolite:3hdd58coa,MNXM1091772
bigg.metabolite:3hdd5coa,MNXM1091773
bigg.metabolite:3hdd69coa,MNXM1091774
bigg.metabolite:3hdd6coa,MNXM1091775
bigg.metabolite:3hddACP,MNXM1091776
bigg.metabolite:3hddacp,MNXM1091777
bigg.metabolite:3hddccoa,MNXM1091778
bigg.metabolite:3hdeACP,MNXM1091779
bigg.metabolite:3hdeacp,MNXM1091780
bigg.metabolite:3hdec4coa,MNXM1091781
bigg.metabolite:3hdocoscoa,MNXM1091782
bigg.metabolite:3hechin,MNXM1091783
bigg.metabolite:3heico58111417coa,MNXM1091784
bigg.metabolite:3heico581114coa,MNXM1091785
bigg.metabolite:3heicoscoa,MNXM1091786
bigg.metabolite:3hgmeACP,MNXM1091787
bigg.metabolite:3hh5coa,MNXM1091788
bigg.metabolite:3hhACP,MNXM1091789
bigg.metabolite:3hhacp,MNXM1091790
bigg.metabolite:3hhd58coa,MNXM1091791
bigg.metabolite:3hhd691215coa,MNXM1091792
bigg.metabolite:3hhd6912coa,MNXM1091793
bigg.metabolite:3hhd71013coa,MNXM1091794
bigg.metabolite:3hhd710coa,MNXM1091795
bigg.metabolite:3hhd7coa,MNXM1091796
bigg.metabolite:3hhd912coa,MNXM1091797
bigg.metabolite:3hhd9coa,MNXM1091798
bigg.metabolite:3hhdccoa,MNXM1091799
bigg.metabolite:3hhdd4coa,MNXM1091800
bigg.metabolite:3hhdd7coa,MNXM1091801
bigg.metabolite:3hhpcoa,MNXM1091802
bigg.metabolite:3hibup__R,MNXM1091803
bigg.metabolite:3hibup__S,MNXM1091804
bigg.metabolite:3hibupglu__S,MNXM1091805
bigg.metabolite:3hlnlccoa,MNXM1091806
bigg.metabolite:3hlvstacid,MNXM1091807
bigg.metabolite:3hmcat,MNXM1091808
bigg.metabolite:3hnonacoa,MNXM1091809
bigg.metabolite:3hoc5coa,MNXM1091810
bigg.metabolite:3hoc7coa,MNXM1091811
bigg.metabolite:3hocACP,MNXM1091812
bigg.metabolite:3hocacp,MNXM1091813
bigg.metabolite:3hocdacp,MNXM1091814
bigg.metabolite:3hod691215coa,MNXM1091815
bigg.metabolite:3hod6912coa,MNXM1091816
bigg.metabolite:3hod91215coa,MNXM1091817
bigg.metabolite:3hod912coa,MNXM1091818
bigg.metabolite:3hod9coa,MNXM1091819
bigg.metabolite:3hodACP,MNXM1091820
bigg.metabolite:3hoddecACP,MNXM1091821
bigg.metabolite:3hodecoa,MNXM1091822
bigg.metabolite:3hpaACP,MNXM1091823
bigg.metabolite:3hpaacp,MNXM1091824
bigg.metabolite:3hpbcoa,MNXM1091825
bigg.metabolite:3hpdecacoa,MNXM1091826
bigg.metabolite:3hphpcoa,MNXM1091827
bigg.metabolite:3hphxacoa,MNXM1091828
bigg.metabolite:3hpmeACP,MNXM1091829
bigg.metabolite:3hpnonacoa,MNXM1091830
bigg.metabolite:3hpoctacoa,MNXM1091831
bigg.metabolite:3hpppnoh,MNXM1091832
bigg.metabolite:3hpppnohgluc,MNXM1091833
bigg.metabolite:3hpptcoa,MNXM1091834
bigg.metabolite:3hptslacoa,MNXM1091835
bigg.metabolite:3hsa,MNXM1091836
bigg.metabolite:3htd5811coa,MNXM1091837
bigg.metabolite:3htd58coa,MNXM1091838
bigg.metabolite:3htd5coa,MNXM1091839
bigg.metabolite:3htd71013coa,MNXM1091840
bigg.metabolite:3htd710coa,MNXM1091841
