#source,ID
bigg.metabolite:prealg_MG_23,MNXM1094036
bigg.metabolite:prealg_MG_32,MNXM1094037
bigg.metabolite:prealg_MG_41,MNXM1094038
bigg.metabolite:prealgac_M1,MNXM1094039
bigg.metabolite:prealgac_M2,MNXM1094040
bigg.metabolite:prealgac_M3,MNXM1094041
bigg.metabolite:prealgac_M4,MNXM1094042
bigg.metabolite:prealginate_G,MNXM1094043
bigg.metabolite:prealginate__M,MNXM1094044
bigg.metabolite:preqtrna,MNXM1094045
bigg.metabolite:primAlc,MNXM1094046
bigg.metabolite:prohisglu,MNXM1094047
bigg.metabolite:propacp,MNXM1094048
bigg.metabolite:protein,MNXM1094049
bigg.metabolite:provitd3,MNXM1094050
bigg.metabolite:prpmn,MNXM1094051
bigg.metabolite:prpnte,MNXM1094052
bigg.metabolite:ps2d1,MNXM1094053
bigg.metabolite:ps2d1_exc,MNXM1094054
bigg.metabolite:ps_LM,MNXM1094055
bigg.metabolite:ps_pf_18_0_18_1,MNXM1094056
bigg.metabolite:ps_pf_18_0_20_4,MNXM1094057
bigg.metabolite:ps_pf_18_1_18_1,MNXM1094058
bigg.metabolite:ps_pf_18_1_20_4,MNXM1094059
bigg.metabolite:ps_pf_20_4_20_4,MNXM1094060
bigg.metabolite:psdp,MNXM1094061
bigg.metabolite:pser,MNXM1094062
bigg.metabolite:psuri,MNXM1094063
bigg.metabolite:psuri5p,MNXM1094064
bigg.metabolite:pt3coa,MNXM1094065
bigg.metabolite:ptd145bp_LM,MNXM1094066
bigg.metabolite:ptd1ino_LM,MNXM1094067
bigg.metabolite:ptd3ino_LM,MNXM1094068
bigg.metabolite:ptd4ino_LM,MNXM1094069
bigg.metabolite:ptdegly,MNXM1094070
bigg.metabolite:ptdoh_MRSA,MNXM1094071
bigg.metabolite:ptsla,MNXM1094072
bigg.metabolite:ptsla2coa,MNXM1094073
bigg.metabolite:ptslacoa,MNXM1094074
bigg.metabolite:puacgam,MNXM1094075
bigg.metabolite:pvdiq,MNXM1094076
bigg.metabolite:pyovd,MNXM1094077
bigg.metabolite:pyovd_kt,MNXM1094078
bigg.metabolite:pyrimid,MNXM1094080
bigg.metabolite:pyrin,MNXM1094081
bigg.metabolite:pyrr,MNXM1094082
bigg.metabolite:q9,MNXM1094083
bigg.metabolite:q9h2,MNXM1094084
bigg.metabolite:qa,MNXM1094085
bigg.metabolite:qan,MNXM1094086
bigg.metabolite:quetrna,MNXM1094087
bigg.metabolite:r2hglut,MNXM1094088
bigg.metabolite:r3hbACP,MNXM1094089
bigg.metabolite:rbl_B,MNXM1094090
bigg.metabolite:rbzn,MNXM1094091
bigg.metabolite:rcc,MNXM1094092
bigg.metabolite:rdRieskeB6,MNXM1094093
bigg.metabolite:rephac,MNXM1094094
bigg.metabolite:rgsno,MNXM1094095
bigg.metabolite:rhma13unaga,MNXM1094096
bigg.metabolite:rhmn,MNXM1094097
bigg.metabolite:ribl5p,MNXM1094098
bigg.metabolite:ribt5p,MNXM1094099
bigg.metabolite:cs_b_deg1,MNXM10941
bigg.metabolite:rna,MNXM1094100
bigg.metabolite:rpdmbzi,MNXM1094101
bigg.metabolite:rpntp,MNXM1094102
bigg.metabolite:s0,MNXM1094103
bigg.metabolite:s1,MNXM1094104
bigg.metabolite:s2,MNXM1094105
bigg.metabolite:s3,MNXM1094106
bigg.metabolite:s4,MNXM1094107
bigg.metabolite:samprot,MNXM1094108
bigg.metabolite:sbo3,MNXM1094109
bigg.metabolite:scys,MNXM1094110
bigg.metabolite:sectrnasec,MNXM1094111
bigg.metabolite:selencysthne,MNXM1094112
bigg.metabolite:selenlhcys,MNXM1094113
bigg.metabolite:selmethtrna,MNXM1094114
bigg.metabolite:selprotein,MNXM1094115
bigg.metabolite:sephcpc,MNXM1094116
bigg.metabolite:serglugly,MNXM1094117
bigg.metabolite:sf,MNXM1094118
bigg.metabolite:sfp,MNXM1094119
bigg.metabolite:skgmeACP,MNXM1094120
bigg.metabolite:skpmeACP,MNXM1094121
bigg.metabolite:sl1278,MNXM1094122
bigg.metabolite:sl659,MNXM1094123
bigg.metabolite:sla,MNXM1094124
bigg.metabolite:smscys,MNXM1094125
bigg.metabolite:sng3p,MNXM1094126
bigg.metabolite:sox,MNXM1094127
bigg.metabolite:sphymyln_pf_18_1_16_0,MNXM1094128
bigg.metabolite:sphymyln_pf_18_1_18_0,MNXM1094129
bigg.metabolite:sphymyln_pf_18_1_24_0,MNXM1094130
bigg.metabolite:spm,MNXM1094131
bigg.metabolite:spyr,MNXM1094132
bigg.metabolite:sq,MNXM1094133
bigg.metabolite:sqdg140160,MNXM1094134
bigg.metabolite:sqdg1401619Z,MNXM1094135
bigg.metabolite:sqdg1619Z160,MNXM1094136
bigg.metabolite:sqdg1619Z240,MNXM1094137
bigg.metabolite:sqdg162n4160,MNXM1094138
bigg.metabolite:sqdg205n3160,MNXM1094139
bigg.metabolite:sqdg205n31619Z,MNXM1094140
bigg.metabolite:sqg,MNXM1094141
bigg.metabolite:sracp,MNXM1094142
bigg.metabolite:srcoa,MNXM1094143
bigg.metabolite:ssc,MNXM1094144
bigg.metabolite:stacmp,MNXM1094145
bigg.metabolite:stear24s,MNXM1094146
bigg.metabolite:steart24s,MNXM1094147
bigg.metabolite:stfrnB,MNXM1094149
bigg.metabolite:stp,MNXM1094150
bigg.metabolite:stphxln,MNXM1094151
bigg.metabolite:strcdlpn,MNXM1094152
bigg.metabolite:strphglc,MNXM1094153
bigg.metabolite:t2c11vaceACP,MNXM1094154
bigg.metabolite:t2dodcoa,MNXM1094155
bigg.metabolite:t2eacp,MNXM1094156
bigg.metabolite:t3mlasp,MNXM1094157
bigg.metabolite:tag1401401619Z,MNXM1094158
bigg.metabolite:tag1401619Z160,MNXM1094159
bigg.metabolite:tag1401619Z1619Z,MNXM1094160
bigg.metabolite:tag140204n61619Z,MNXM1094161
bigg.metabolite:tag140205n3140,MNXM1094162
bigg.metabolite:tag140205n3160,MNXM1094163
bigg.metabolite:tag140205n31619Z,MNXM1094164
bigg.metabolite:tag140205n3164n1,MNXM1094165
bigg.metabolite:tag140205n3182n6,MNXM1094166
bigg.metabolite:tag140205n3183n6,MNXM1094167
bigg.metabolite:tag140205n3204n6,MNXM1094168
bigg.metabolite:tag140205n3205n3,MNXM1094169
bigg.metabolite:tag140205n3226n3,MNXM1094170
bigg.metabolite:tag160,MNXM1094171
bigg.metabolite:tag160140160,MNXM1094172
bigg.metabolite:tag160160160,MNXM1094173
bigg.metabolite:tag160160182n6,MNXM1094174
bigg.metabolite:tag160160183n6,MNXM1094175
bigg.metabolite:tag1601619Z160,MNXM1094176
bigg.metabolite:tag1601619Z1619Z,MNXM1094177
bigg.metabolite:tag1601619Z183n6,MNXM1094178
bigg.metabolite:tag160204n6160,MNXM1094179
bigg.metabolite:tag160205n3160,MNXM1094180
bigg.metabolite:tag160205n3182n6,MNXM1094181
bigg.metabolite:tag160205n3183n6,MNXM1094182
bigg.metabolite:tag160205n3204n6,MNXM1094183
bigg.metabolite:tag160205n3205n3,MNXM1094184
bigg.metabolite:tag160205n3226n3,MNXM1094185
bigg.metabolite:tag1619Z140160,MNXM1094186
bigg.metabolite:tag1619Z1401619Z,MNXM1094187
bigg.metabolite:tag1619Z140182n6,MNXM1094188
bigg.metabolite:tag1619Z140183n6,MNXM1094189
bigg.metabolite:tag1619Z160160,MNXM1094190
bigg.metabolite:tag1619Z1601819Z,MNXM1094191
bigg.metabolite:tag1619Z160182n6,MNXM1094192
bigg.metabolite:tag1619Z160205n3,MNXM1094193
bigg.metabolite:tag1619Z1619Z160,MNXM1094194
bigg.metabolite:tag1619Z1619Z1619Z,MNXM1094195
bigg.metabolite:tag1619Z1619Z1819Z,MNXM1094196
bigg.metabolite:tag1619Z1619Z182n6,MNXM1094197
bigg.metabolite:tag1619Z1619Z183n6,MNXM1094198
bigg.metabolite:tag1619Z204n6160,MNXM1094199
bigg.metabolite:cs_b_deg3,MNXM10942
bigg.metabolite:tag1619Z204n61619Z,MNXM1094200
bigg.metabolite:tag1619Z204n6204n6,MNXM1094201
bigg.metabolite:tag1619Z205n3160,MNXM1094202
bigg.metabolite:tag1619Z205n31619Z,MNXM1094203
bigg.metabolite:tag1619Z205n3163n4,MNXM1094204
bigg.metabolite:tag1619Z205n3164n1,MNXM1094205
bigg.metabolite:tag1619Z205n31819Z,MNXM1094206
bigg.metabolite:tag1619Z205n3182n6,MNXM1094207
bigg.metabolite:tag1619Z205n3183n6,MNXM1094208
bigg.metabolite:tag1619Z205n3204n6,MNXM1094209
bigg.metabolite:tag1619Z205n3205n3,MNXM1094210
bigg.metabolite:tag1619Z205n3226n3,MNXM1094211
bigg.metabolite:tag1619Z226n3164n1,MNXM1094212
bigg.metabolite:tag180,MNXM1094213
bigg.metabolite:tag1819Z160160,MNXM1094214
bigg.metabolite:tag1819Z1601619Z,MNXM1094215
bigg.metabolite:tag1819Z1619Z1619Z,MNXM1094216
bigg.metabolite:tag1819Z1619Z1819Z,MNXM1094217
bigg.metabolite:tag1819Z205n3205n3,MNXM1094218
bigg.metabolite:tag1819Z205n3226n3,MNXM1094219
bigg.metabolite:tag181d9,MNXM1094220
bigg.metabolite:tag182d9d12,MNXM1094221
bigg.metabolite:tag182n61601619Z,MNXM1094222
bigg.metabolite:tag182n6205n3182n6,MNXM1094223
bigg.metabolite:tag182n6205n3183n6,MNXM1094224
bigg.metabolite:tag182n6205n3204n6,MNXM1094225
bigg.metabolite:tag205n3205n3160,MNXM1094226
bigg.metabolite:tag205n3205n3163n4,MNXM1094227
bigg.metabolite:tag205n3205n3164n1,MNXM1094228
bigg.metabolite:tag205n3205n3182n6,MNXM1094229
bigg.metabolite:tag205n3205n3183n6,MNXM1094230
bigg.metabolite:tag205n3205n3204n6,MNXM1094231
bigg.metabolite:tag205n3205n3205n3,MNXM1094232
bigg.metabolite:tag205n3205n3226n3,MNXM1094233
bigg.metabolite:tag226n3205n3164n1,MNXM1094234
bigg.metabolite:tag226n3205n3204n6,MNXM1094235
bigg.metabolite:tag226n3205n3226n3,MNXM1094236
bigg.metabolite:tag_TB,MNXM1094237
bigg.metabolite:tag_pf_16_0_18_0_18_0,MNXM1094238
bigg.metabolite:tag_pf_18_0_18_0_18_1,MNXM1094239
bigg.metabolite:tag_pf_18_0_18_1_16_0,MNXM1094240
bigg.metabolite:tag_pf_18_1_18_2_18_2,MNXM1094241
bigg.metabolite:tauribup__S,MNXM1094242
bigg.metabolite:tbsinol,MNXM1094243
bigg.metabolite:tbsinyldp,MNXM1094244
bigg.metabolite:tca3s,MNXM1094245
bigg.metabolite:tcdca3s,MNXM1094246
bigg.metabolite:tczcaro,MNXM1094247
bigg.metabolite:td2471013coa,MNXM1094248
bigg.metabolite:td24710coa,MNXM1094249
bigg.metabolite:td25811coa,MNXM1094250
bigg.metabolite:td258coa,MNXM1094251
bigg.metabolite:td25coa,MNXM1094252
bigg.metabolite:td271013coa,MNXM1094253
bigg.metabolite:td2710coa,MNXM1094254
bigg.metabolite:td27coa,MNXM1094255
bigg.metabolite:td371013coa,MNXM1094256
bigg.metabolite:td3710coa,MNXM1094257
bigg.metabolite:td471013coa,MNXM1094258
bigg.metabolite:td4710coa,MNXM1094259
bigg.metabolite:td5811coa,MNXM1094260
bigg.metabolite:td58_2_coa,MNXM1094261
bigg.metabolite:td58coa,MNXM1094262
bigg.metabolite:td710coa,MNXM1094264
bigg.metabolite:td7coa,MNXM1094265
bigg.metabolite:td_5_8_coa,MNXM1094266
bigg.metabolite:tdca3s,MNXM1094267
bigg.metabolite:tdd2coa,MNXM1094268
bigg.metabolite:tde2coa,MNXM1094269
bigg.metabolite:tde_2Z_coa,MNXM1094270
bigg.metabolite:tdeacp,MNXM1094271
bigg.metabolite:tded5_2_coa,MNXM1094272
bigg.metabolite:tded5coa,MNXM1094273
bigg.metabolite:teich_45,MNXM1094274
bigg.metabolite:teichoic,MNXM1094275
bigg.metabolite:teo2,MNXM1094276
bigg.metabolite:tet1decg3p,MNXM1094277
bigg.metabolite:tetacp,MNXM1094278
bigg.metabolite:tetdec2coa,MNXM1094279
bigg.metabolite:tetdecacid,MNXM1094280
bigg.metabolite:tetscoa,MNXM1094281
bigg.metabolite:tg160,MNXM1094282
bigg.metabolite:tgt,MNXM1094283
bigg.metabolite:thcur,MNXM1094284
bigg.metabolite:thex2encoa,MNXM1094285
bigg.metabolite:thexdecenoylacp,MNXM1094286
bigg.metabolite:thexdecenoylcoa,MNXM1094287
bigg.metabolite:thioc,MNXM1094288
bigg.metabolite:thios,MNXM1094289
bigg.metabolite:this,MNXM1094290
bigg.metabolite:thissh,MNXM1094291
bigg.metabolite:thrfvs,MNXM1094292
bigg.metabolite:thyochol,MNXM1094293
bigg.metabolite:tma,MNXM1094294
bigg.metabolite:tmam,MNXM1094294
bigg.metabolite:tmanur,MNXM1094295
bigg.metabolite:tnt,MNXM1094296
bigg.metabolite:tntmdh,MNXM1094297
bigg.metabolite:tntmmh,MNXM1094298
bigg.metabolite:to2eACP,MNXM1094299
bigg.metabolite:cs_c_deg1,MNXM10943
bigg.metabolite:toct2enacp,MNXM1094300
bigg.metabolite:toct2encoa,MNXM1094301
bigg.metabolite:trdcalcoa,MNXM1094302
bigg.metabolite:trdiel,MNXM1094303
bigg.metabolite:tre6mm,MNXM1094304
bigg.metabolite:tre6mmp,MNXM1094305
bigg.metabolite:triacp,MNXM1094306
bigg.metabolite:triglyc_LM,MNXM1094307
bigg.metabolite:tripeptide,MNXM1094308
bigg.metabolite:trnaasp_preq34,MNXM1094309
bigg.metabolite:trnaaspq,MNXM1094310
bigg.metabolite:trnaaspqo,MNXM1094311
bigg.metabolite:trnagua,MNXM1094312
bigg.metabolite:trnahis_preq34,MNXM1094313
bigg.metabolite:trnahisq,MNXM1094314
bigg.metabolite:trnahisqo,MNXM1094315
bigg.metabolite:trnarib,MNXM1094316
bigg.metabolite:trnatyr_preq34,MNXM1094317
bigg.metabolite:trnatyrq,MNXM1094318
bigg.metabolite:trnatyrqo,MNXM1094319
bigg.metabolite:trnauri,MNXM1094320
bigg.metabolite:trpdox,MNXM1094321
bigg.metabolite:trpdrd,MNXM1094322
bigg.metabolite:trpox,MNXM1094323
bigg.metabolite:trprd,MNXM1094324
bigg.metabolite:ttc2coa,MNXM1094325
bigg.metabolite:ttclyco,MNXM1094326
bigg.metabolite:ttdceacoa,MNXM1094327
bigg.metabolite:ttetdec2enoylacp,MNXM1094328
bigg.metabolite:ttetdec2enoylcoa,MNXM1094329
bigg.metabolite:tudca3s,MNXM1094330
bigg.metabolite:tvegeACP,MNXM1094331
bigg.metabolite:tyr__D,MNXM1094332
bigg.metabolite:u23dddcga,MNXM1094333
bigg.metabolite:u23ga2,MNXM1094334
bigg.metabolite:u3aga2,MNXM1094335
bigg.metabolite:u3dcaga,MNXM1094336
bigg.metabolite:u3dcga,MNXM1094337
bigg.metabolite:u3hga2,MNXM1094338
bigg.metabolite:u45imzc,MNXM1094339
bigg.metabolite:uamagl,MNXM1094340
bigg.metabolite:uamaglaa,MNXM1094341
bigg.metabolite:uchol,MNXM1094342
bigg.metabolite:udca3s,MNXM1094343
bigg.metabolite:udcdpgal_a1_3_man,MNXM1094344
bigg.metabolite:udcdpgal_a1_3_man_a1_2_man,MNXM1094345
bigg.metabolite:udcdpgal_a1_3_man_a1_2_man_b1_2_acrmn,MNXM1094346
bigg.metabolite:udcdpgal_a1_3_man_a1_2_man_b1_2_acrmn_a1_3_abe,MNXM1094347
bigg.metabolite:udcdpgal_a1_3_man_a1_2_man_b1_2_rmn,MNXM1094348
bigg.metabolite:udcdpgal_a1_3_rmn,MNXM1094349
bigg.metabolite:udcdpgal_a1_3_rmn_a1_4_man,MNXM1094350
bigg.metabolite:udcdpgal_a1_3_rmn_a1_4_man_a1_3_abe,MNXM1094351
bigg.metabolite:udcdpgal_a1_3_rmn_a1_4_man_a1_3_par,MNXM1094352
bigg.metabolite:udcdpgal_a1_3_rmn_a1_4_man_a1_3_tyv,MNXM1094353
bigg.metabolite:udcdpgal_a1_3_rmn_a1_4_manac,MNXM1094354
bigg.metabolite:udcdpgal_b1_3_galf_a1_3_gal,MNXM1094355
bigg.metabolite:udcdpgalnac,MNXM1094356
bigg.metabolite:udcdpgalnac_a13_gal_b1_3_b13_gal_a12,MNXM1094357
bigg.metabolite:udcdpgalnac_a1_3_b1_3_glc_a1_4_gal_a1_6_gal,MNXM1094358
bigg.metabolite:udcdpgalnac_a1_3_fuc_a1_3_man_a1_3_quinac,MNXM1094359
bigg.metabolite:udcdpgalnac_a1_3_fuc_a1_3_man_a1_6_galnac_a1_3_fuc,MNXM1094360
bigg.metabolite:udcdpgalnac_a1_3_galnac_a1_4_glc_b1_4_gal_a1_4_fuc3nac,MNXM1094361
bigg.metabolite:udcdpgalnac_a1_3_glc_a1_4_rmn_a1_2_rmn_b1_2_glcnac,MNXM1094362
bigg.metabolite:udcdpgalnac_b1_3_gal_a1_4_gal_b1_3_galnac_a1_3_glcnac,MNXM1094363
bigg.metabolite:udcdpgalnac_b1_3_glc_b1_2_glcnac_b1_4_gal_b1_4_gal,MNXM1094364
bigg.metabolite:udcdpgalnac_b1_3_glc_b1_4_man_b1_2_glcnac_a1_3_galnac,MNXM1094365
bigg.metabolite:udcdpgalnac_b1_3_man_a1_2_man_a1_2_man,MNXM1094366
bigg.metabolite:udcdpgalrmnmanabe,MNXM1094367
bigg.metabolite:udcdpglcnac_a1_3_fucnam_a1_3_gal_O_6_ribt,MNXM1094368
bigg.metabolite:udcdpglcnac_a1_3_gal_a1_2_rmn_a1_2_rmn_b1_2_mannac,MNXM1094369
bigg.metabolite:udcdpglcnac_a1_3_gal_a1_4_glc_a1_3col_a1_6col,MNXM1094370
bigg.metabolite:udcdpglcnac_a1_3_gal_b1_3_glcnac_a1_4_glc_a1_6_glc,MNXM1094371
bigg.metabolite:udcdpglcnac_a1_3_galnac_a1_4_glc_b1_6_fuc3nac_b1_3_glc,MNXM1094372
bigg.metabolite:udcdpglcnac_a1_3_galnac_b1_3_gal_a1_3_gal_a1_2_fuc,MNXM1094373
bigg.metabolite:udcdpglcnac_a1_3_galnac_b1_3_gal_b1_3_glcnac_a1_4_glc,MNXM1094374
bigg.metabolite:udcdpglcnac_a1_3_galnac_b1_4_rib_b1_3_qui4N,MNXM1094375
bigg.metabolite:udcdpglcnac_a1_3_quinac_a1_3_glc_b1_4_man,MNXM1094376
bigg.metabolite:udcdpglcnac_a1_3_quinac_a1_3_glcnac_b1_6_quinac,MNXM1094377
bigg.metabolite:udcdpglcnac_a1_3_rmn_a1_2_rmn_a1_3_rmn_a1_2_galnacan,MNXM1094378
bigg.metabolite:udcdpglcnac_a1_3_rmn_a1_4_glcnac_b1_3_gal,MNXM1094379
bigg.metabolite:udcdpglcnac_a1_3_rmn_b1_4_galnac_a1_4_galf,MNXM1094380
bigg.metabolite:udcdpglcnac_b1_3_gal_a1_2_fuc_b1_4_rib_a1_3_fuc_b1_4_glc,MNXM1094381
bigg.metabolite:udcdpglcnac_b1_3_gal_a1_2_fuc_b1_4_rib_a1_3_fucac_b1_4_glc,MNXM1094382
bigg.metabolite:udcdpglcnac_b1_3_gal_a1_4_glcnac_b1_4_gal_b1_4_rib,MNXM1094383
bigg.metabolite:udcdpglcnac_b1_3_galf_b1_6_mannac_a1_3_gal_a1_4_galf,MNXM1094384
bigg.metabolite:udcdpglcnac_b1_3_glc,MNXM1094385
bigg.metabolite:udcdpglcnac_b1_3_glc_a1_4_fuc_a1_3_acper,MNXM1094386
bigg.metabolite:udcdpglcnac_b1_4_glcnac_a1_3_man_b1_4_man,MNXM1094387
bigg.metabolite:udcdpglcnac_b1_6_mannac,MNXM1094388
bigg.metabolite:udcdpglcnac_b1_6_mannac_b1_3_mannac_b1_4_10,MNXM1094389
bigg.metabolite:udcpdglcnac_a1_3_rmn_a1_4_gal_b1_4_man,MNXM1094390
bigg.metabolite:udcpdglcnac_b1_3_man_a1_2_man_a1_2_man,MNXM1094391
bigg.metabolite:udcpdglcnac_b1_3_man_a1_2_man_a_2_man_b1_2_man,MNXM1094392
bigg.metabolite:udcpdpgalnac_a1_3_fucnam,MNXM1094393
bigg.metabolite:udcpdpgalnac_a1_3_fucnam_a2_3_neu5ac,MNXM1094394
bigg.metabolite:udcpdpgalnac_a1_3_fucnam_a2_3_neu5acOac,MNXM1094395
bigg.metabolite:udcpdpgalnac_b1_3_gal3_b1_4_ribf_qui3nac,MNXM1094396
bigg.metabolite:udcpdpgalnac_b1_4_glc_b1_3_gal3_a1_4_rmn_a1_3_qui3nac,MNXM1094397
bigg.metabolite:udcpdpglcnac_a1_3_galnac_b1_3_gal_a1_2_fuc,MNXM1094398
bigg.metabolite:udcpdpglcnacc_b1_3_glc_b1_3_man_a1_3_fuc3nfo,MNXM1094399
bigg.metabolite:cs_c_deg4,MNXM10944
bigg.metabolite:udcpgl,MNXM1094400
bigg.metabolite:udcpo4min,MNXM1094401
bigg.metabolite:udp2aca26ddarah4,MNXM1094402
bigg.metabolite:udp2aca26ddl4h,MNXM1094403
bigg.metabolite:udpacblfuc,MNXM1094404
bigg.metabolite:udpacblquia,MNXM1094405
bigg.metabolite:udpacgala,MNXM1094406
bigg.metabolite:udpacgalu,MNXM1094407
bigg.metabolite:udpacman,MNXM1094408
bigg.metabolite:udpacpnma,MNXM1094410
bigg.metabolite:udpacrmna,MNXM1094411
bigg.metabolite:udpadgluc,MNXM1094412
bigg.metabolite:udpamagdapaa,MNXM1094413
bigg.metabolite:udpfucnam,MNXM1094414
bigg.metabolite:udprmn,MNXM1094415
bigg.metabolite:ukquivo,MNXM1094416
bigg.metabolite:unRTA,MNXM1094417
bigg.metabolite:unagam,MNXM1094418
bigg.metabolite:unagama,MNXM1094419
bigg.metabolite:unagamagp,MNXM1094420
bigg.metabolite:und2one,MNXM1094421
bigg.metabolite:undacp,MNXM1094422
bigg.metabolite:unquivo,MNXM1094423
bigg.metabolite:unsc,MNXM1094424
bigg.metabolite:up4u,MNXM1094425
bigg.metabolite:updpamaglaa,MNXM1094426
bigg.metabolite:uquivo,MNXM1094427
bigg.metabolite:urdgci,MNXM1094428
bigg.metabolite:vacc2coa,MNXM1094429
bigg.metabolite:val__D,MNXM1094430
bigg.metabolite:vegACP,MNXM1094431
bigg.metabolite:xNA,MNXM1094432
bigg.metabolite:xolest_16_0,MNXM1094433
bigg.metabolite:xp4x,MNXM1094434
bigg.metabolite:xsiderophore,MNXM1094435
bigg.metabolite:zeax_exc,MNXM1094436
bigg.metabolite:cs_c_pre2,MNXM10945
bigg.metabolite:cs_c_pre3,MNXM10946
bigg.metabolite:cs_d_pre2,MNXM10947
bigg.metabolite:cs_d_deg1,MNXM10948
bigg.metabolite:cs_d_deg3,MNXM10949
bigg.metabolite:CE6230,MNXM1094913
bigg.metabolite:fgam,MNXM1094915
bigg.metabolite:fpram,MNXM1094916
bigg.metabolite:cs_d_deg5,MNXM10950
bigg.metabolite:cs_d_pre3,MNXM10951
bigg.metabolite:cs_d_pre4,MNXM10952
bigg.metabolite:cs_d_pre5,MNXM10953
bigg.metabolite:cs_e_deg1,MNXM10954
bigg.metabolite:cs_e_deg2,MNXM10955
bigg.metabolite:cs_e_deg5,MNXM10956
bigg.metabolite:cs_e_deg6,MNXM10957
bigg.metabolite:cs_e_pre3,MNXM10958
bigg.metabolite:cs_e_pre5a,MNXM10959
bigg.metabolite:cs_e_pre5b,MNXM10960
bigg.metabolite:ppi,MNXM11
bigg.metabolite:C03958,MNXM1100571
bigg.metabolite:CE5820,MNXM1100812
bigg.metabolite:uacgala,MNXM1100890
bigg.metabolite:udpacgal,MNXM1100890
bigg.metabolite:2425dhvitd3,MNXM1101169
bigg.metabolite:ecto__L,MNXM1101175
bigg.metabolite:ectoine,MNXM1101176
bigg.metabolite:M01141,MNXM1101197
bigg.metabolite:td5coa,MNXM1101197
bigg.metabolite:M00978,MNXM1101205
bigg.metabolite:ivcrn,MNXM1101229
bigg.metabolite:mpdol_U,MNXM1101246
bigg.metabolite:2hglut,MNXM1101251
bigg.metabolite:2hog,MNXM1101251
bigg.metabolite:2hydog,MNXM1101251
bigg.metabolite:HC00832,MNXM1101253
bigg.metabolite:fcl__L,MNXM1101253
bigg.metabolite:fuc,MNXM1101253
bigg.metabolite:M01191,MNXM1101255
bigg.metabolite:hd7coa,MNXM1101255
bigg.metabolite:hexde7coa,MNXM1101255
bigg.metabolite:uacmam,MNXM1101258
bigg.metabolite:udpacmana,MNXM1101258
bigg.metabolite:oxyp,MNXM1101260
bigg.metabolite:f390g,MNXM1101263
bigg.metabolite:bmoco,MNXM1101270
bigg.metabolite:agdpcbi,MNXM1101279
bigg.metabolite:rnam,MNXM1101283
bigg.metabolite:gmp,MNXM1101285
bigg.metabolite:2mahmp,MNXM1101289
bigg.metabolite:hexdicoa,MNXM1101299
bigg.metabolite:3hmop,MNXM1101302
bigg.metabolite:kdolipid4,MNXM1101307
bigg.metabolite:utp,MNXM1101474
bigg.metabolite:imp,MNXM1101868
bigg.metabolite:pcholn28_hs,MNXM1101878
bigg.metabolite:HC02200,MNXM1101886
bigg.metabolite:mi3456p,MNXM1101893
bigg.metabolite:M00899,MNXM1101900
bigg.metabolite:unaga,MNXM1101902
bigg.metabolite:M00797,MNXM1101909
bigg.metabolite:M01573,MNXM1101919
bigg.metabolite:sbcoa,MNXM1101921
bigg.metabolite:M00056,MNXM1101923
bigg.metabolite:M03024,MNXM1101925
bigg.metabolite:M03014,MNXM1101927
bigg.metabolite:M01237,MNXM1101929
bigg.metabolite:3octdece1coa,MNXM1101931
bigg.metabolite:M00843,MNXM1101933
bigg.metabolite:c12dccoa,MNXM1101935
bigg.metabolite:arbtn_fe3,MNXM1101937
bigg.metabolite:arbtn,MNXM1101938
bigg.metabolite:M00071,MNXM1101943
bigg.metabolite:M02112,MNXM1101945
bigg.metabolite:HC10856,MNXM1101947
bigg.metabolite:c14dccoa,MNXM1101949
bigg.metabolite:M00046,MNXM1101951
bigg.metabolite:M00792,MNXM1101953
bigg.metabolite:M00782,MNXM1101959
bigg.metabolite:M00806,MNXM1101961
bigg.metabolite:M03019,MNXM1101973
bigg.metabolite:HC10857,MNXM1101975
bigg.metabolite:5mta,MNXM1101977
bigg.metabolite:CE2304,MNXM1101979
bigg.metabolite:CE2306,MNXM1101981
bigg.metabolite:CE2876,MNXM1101985
bigg.metabolite:CE4844,MNXM1101987
bigg.metabolite:CE4849,MNXM1101989
bigg.metabolite:CE4796,MNXM1101993
bigg.metabolite:M00849,MNXM1101995
bigg.metabolite:HC10858,MNXM1101997
bigg.metabolite:CE4803,MNXM1101999
bigg.metabolite:CE4804,MNXM1102001
bigg.metabolite:CE2303,MNXM1102003
bigg.metabolite:hatrz,MNXM1102009
bigg.metabolite:CE4847,MNXM1102010
bigg.metabolite:tmdm1,MNXM1102062
bigg.metabolite:gp4g,MNXM1102064
bigg.metabolite:HC10859,MNXM1102070
bigg.metabolite:amet,MNXM1102072
bigg.metabolite:CE2962,MNXM1102074
bigg.metabolite:CE2958,MNXM1102076
bigg.metabolite:CE4852,MNXM1102084
bigg.metabolite:CE4853,MNXM1102086
bigg.metabolite:mi1456p,MNXM1102088
bigg.metabolite:CE2246,MNXM1102090
bigg.metabolite:M00860,MNXM1102090
bigg.metabolite:CE2754,MNXM1102093
bigg.metabolite:HC02187,MNXM1102093
bigg.metabolite:retinol,MNXM1102094
bigg.metabolite:retinol_9_cis,MNXM1102095
bigg.metabolite:2m3osuc,MNXM1102097
bigg.metabolite:tetd7ecoa,MNXM1102104
bigg.metabolite:CE4816,MNXM1102106
bigg.metabolite:CE0782,MNXM1102108
bigg.metabolite:CE4820,MNXM1102110
bigg.metabolite:CE4845,MNXM1102112
